Date,Timestamp ,Value
24-May,20200524052,26050
24-May,20200524051,26039
24-May,20200524050,26052
24-May,20200524049,26059
24-May,20200524048,26057
24-May,20200524047,26042
24-May,20200524046,26034
24-May,20200524045,26027
24-May,20200524044,26038
24-May,20200524043,26042
24-May,20200524042,26052
24-May,20200524041,26056
24-May,20200524040,26057
24-May,20200524039,26064
24-May,20200524038,26074
24-May,20200524037,26097
24-May,20200524036,26104
24-May,20200524035,26099
24-May,20200524034,26098
24-May,20200524033,26101
24-May,20200524032,26108
24-May,20200524031,26110
24-May,20200524030,26102
24-May,20200524029,26106
24-May,20200524028,26122
24-May,20200524027,26116
24-May,20200524026,26101
24-May,20200524025,26096
24-May,20200524024,26096
24-May,20200524023,26102
24-May,20200524022,26112
24-May,20200524021,26122
24-May,20200524020,26112
24-May,20200524019,26100
24-May,20200524018,26108
24-May,20200524017,26112
24-May,20200524016,26113
24-May,20200524015,26109
24-May,20200524014,26110
24-May,20200524013,26103
24-May,20200524012,26092
24-May,20200524011,26095
24-May,20200524010,26095
24-May,20200524009,26101
24-May,20200524008,26090
24-May,20200524007,26094
24-May,20200524006,26094
24-May,20200524005,26092
24-May,20200524004,26090
24-May,20200524003,26102
24-May,20200524002,26106
24-May,20200524001,26114
25-May,20200525480,26414
25-May,20200525479,26408
25-May,20200525478,26400
25-May,20200525477,26381
25-May,20200525476,26376
25-May,20200525475,26391
25-May,20200525474,26380
25-May,20200525473,26368
25-May,20200525472,26372
25-May,20200525471,26386
25-May,20200525470,26380
25-May,20200525469,26368
25-May,20200525468,26366
25-May,20200525467,26367
25-May,20200525466,26379
25-May,20200525465,26370
25-May,20200525464,26373
25-May,20200525463,26361
25-May,20200525462,26373
25-May,20200525461,26375
25-May,20200525460,26376
25-May,20200525459,26381
25-May,20200525458,26381
25-May,20200525457,26372
25-May,20200525456,26375
25-May,20200525455,26366
25-May,20200525454,26363
25-May,20200525453,26354
25-May,20200525452,26353
25-May,20200525451,26348
25-May,20200525450,26344
25-May,20200525449,26355
25-May,20200525448,26350
25-May,20200525447,26363
25-May,20200525446,26369
25-May,20200525445,26371
25-May,20200525444,26387
25-May,20200525443,26386
25-May,20200525442,26377
25-May,20200525441,26378
25-May,20200525440,26372
25-May,20200525439,26350
25-May,20200525438,26355
25-May,20200525437,26378
25-May,20200525436,26385
25-May,20200525435,26382
25-May,20200525434,26381
25-May,20200525433,26375
25-May,20200525432,26369
25-May,20200525431,26360
25-May,20200525430,26365
25-May,20200525429,26364
25-May,20200525428,26373
25-May,20200525427,26376
25-May,20200525426,26378
25-May,20200525425,26360
25-May,20200525424,26363
25-May,20200525423,26361
25-May,20200525422,26363
25-May,20200525421,26377
25-May,20200525420,26384
25-May,20200525419,26385
25-May,20200525418,26388
25-May,20200525417,26393
25-May,20200525416,26398
25-May,20200525415,26380
25-May,20200525414,26370
25-May,20200525413,26371
25-May,20200525412,26362
25-May,20200525411,26362
25-May,20200525410,26350
25-May,20200525409,26354
25-May,20200525408,26353
25-May,20200525407,26354
25-May,20200525406,26357
25-May,20200525405,26368
25-May,20200525404,26368
25-May,20200525403,26373
25-May,20200525402,26383
25-May,20200525401,26384
25-May,20200525400,26383
25-May,20200525399,26361
25-May,20200525398,26349
25-May,20200525397,26351
25-May,20200525396,26337
25-May,20200525395,26333
25-May,20200525394,26347
25-May,20200525393,26355
25-May,20200525392,26363
25-May,20200525391,26378
25-May,20200525390,26378
25-May,20200525389,26368
25-May,20200525388,26366
25-May,20200525387,26377
25-May,20200525386,26372
25-May,20200525385,26376
25-May,20200525384,26387
25-May,20200525383,26384
25-May,20200525382,26398
25-May,20200525381,26401
25-May,20200525380,26402
25-May,20200525379,26395
25-May,20200525378,26395
25-May,20200525377,26388
25-May,20200525376,26384
25-May,20200525375,26389
25-May,20200525374,26397
25-May,20200525373,26395
25-May,20200525372,26384
25-May,20200525371,26383
25-May,20200525370,26361
25-May,20200525369,26340
25-May,20200525368,26321
25-May,20200525367,26312
25-May,20200525366,26305
25-May,20200525365,26309
25-May,20200525364,26311
25-May,20200525363,26317
25-May,20200525362,26328
25-May,20200525361,26322
25-May,20200525360,26315
25-May,20200525359,26324
25-May,20200525358,26313
